sku,description,prod_type,comm_class,lot_control_flag,primary_dc,abc_code,fin_rprt_grp,sku_entry_date,sku_status,discon_date
516082BKZ,Metformin 100mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,C,PHRTX2053,6/15/2023,Inactive,
607663NEE,Cold and Flu Capsules,OTC,General Market,Yes,PAWH200B,B,OTCPA3890,2/28/2020,Inactive,
643775FNU,Cough Syrup Private Label,OTC,Private Label,Yes,ILWH500E,B,OTCIL4464,9/24/2023,Inactive,
204479UEH,Metformin 100mg Tablets,Pharma,General Market,Yes,TXDC300C,C,PHRTX8037,10/2/2022,Active,
747620BRL,Levothyroxine 20mg Tablets,Pharma,General Market,Yes,,B,PHRNJ1995,5/11/2018,Inactive,
288852LSF,Sertraline 100mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,B,PHRIL6195,8/11/2022,Inactive,
812527MUB,Cold and Flu Capsules,OTC,General Market,Yes,PAWH200B,B,OTCPA8687,5/13/2021,Inactive,
596472HTA,Pain Relief Tablets,OTC,General Market,Yes,NJWH100A,C,OTCNJ3061,8/22/2022,Active,
451115WWG,Sertraline 5mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,A,PHRTX1354,2/4/2020,Inactive,
744801BNN,Lisinopril 10mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA7636,10/24/2018,Inactive,
687782MRV,Amoxicillin 10mg Tablets Sample,Pharma,Sample,No,TXDC300C,A,PHRTX8524,8/6/2024,Active,
133621FCQ,Cold and Flu Capsules Private Label,OTC,,Yes,NJWH100A,B,OTCNJ7708,3/16/2018,Active,
750105QQT,Cough Syrup,OTC,General Market,Yes,NJWH100A,B,OTCNJ4146,8/23/2023,Inactive,
799644ZDT,Pain Relief Tablets,OTC,General Market,Yes,PAWH200B,C,OTCPA6223,4/12/2018,Inactive,
492167FDJ,Levothyroxine 100mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ9697,10/23/2025,Inactive,
160543VLB,Metformin 250mg Tablets,Pharma,Sample,Yes,,C,PHRIL3985,6/22/2022,Active,
899069WJC,Antacid Chewables,OTC,General Market,Yes,CADC400D,A,OTCCA4487,11/25/2023,Inactive,
875240JAK,Levothyroxine 250mg Tablets,Pharma,,Yes,PAWH200B,C,PHRPA4533,9/24/2018,Inactive,
424429QUC,Amoxicillin 50mg Tablets Sample,Pharma,Sample,Yes,CADC400D,B,PHRCA3967,4/16/2018,Active,
692007UIY,Sertraline 250mg Tablets Sample,Pharma,Sample,Yes,,C,PHRNJ3285,8/21/2020,Inactive,
889309KHN,Lisinopril 5mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,C,PHRNJ2318,1/14/2025,Inactive,
563503DZU,Pain Relief Tablets,OTC,Private Label,Yes,NJWH100A,C,OTCNJ7946,1/7/2018,Active,
723477JRZ,Antacid Chewables Sample,OTC,Sample,Yes,ILWH500E,C,OTCIL5763,6/13/2020,Inactive,
422805IMB,Cough Syrup,OTC,General Market,Yes,CADC400D,C,OTCCA2246,9/11/2024,Inactive,
26931G5VR,Ibuprofen 100mg Tablets,Pharma,Private Label,Yes,TXDC300C,A,PHRTX3880,10/5/2018,Inactive,
567188YXD,Ibuprofen 50mg Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX6745,5/2/2020,Active,
344547FDH,Cough Syrup,OTC,General Market,Yes,ILWH500E,A,OTCIL1656,3/22/2018,Inactive,
341732ZLA,Antacid Chewables Private Label,OTC,Private Label,Yes,TXDC300C,C,OTCTX9021,6/7/2022,Inactive,
151008CBG,Allergy Relief Caps,OTC,Sample,Yes,NJWH100A,A,OTCNJ6131,11/28/2019,Inactive,
711815MXI,Cold and Flu Capsules Sample,OTC,Sample,Yes,ILWH500E,,OTCIL7604,12/14/2022,Active,
929106VLS,Omeprazol e10mg Tablets,Pharma,Private Label,Yes,TXDC300C,B,PHRTX7607,6/11/2022,Inactive,
176958FCU,Cough Syrup Sample,OTC,Sample,Yes,CADC400D,B,OTCCA9792,5/21/2020,Active,
756830XVR,Omeprazole 50mg Tablets,Pharma,Private Label,Yes,PAWH200B,C,PHRPA2393,4/19/2022,Inactive,
141469SPA,Pain Relief Tablets,OTC,Private Label,Yes,ILWH500E,A,OTCIL5850,8/3/2025,Inactive,9/25/2027
283628KNA,Antacid Chewables,OTC,Private Label,Yes,PAWH200B,A,OTCPA6077,3/25/2025,Active,
978225EGP,Allergy Relief Caps Sample,OTC,Sample,Yes,NJWH100A,A,OTCNJ7397,9/18/2018,Active,
263448ZUO,Ibuprofen 5mg Tablets,Pharma,,Yes,NJWH100A,C,PHRNJ5488,8/21/2021,Inactive,
426218XDH,Cough Syrup,OTC,General Market,Yes,NJWH100A,A,OTCNJ8960,7/26/2017,Active,
607718RFF,Lisinopril 50mg Tablets,Pharma,General Market,Yes,CADC400D,B,PHRCA4711,12/9/2018,Inactive,1/27/2031
491089LAJ,Lisinopril 20mg Tablets,Pharma,Sample,Yes,CADC400D,C,PHRCA2458,12/15/2020,Inactive,
865780NIA,Metformin 5mg Tablets,Pharma,General Market,Yes,TXDC300C,C,PHRTX8269,12/30/2017,Inactive,
922220SQD,Atorvastatin 10mg Tablets,Pharma,General Market,Yes,ILWH500E,A,PHRIL6387,2/24/2017,Active,
734680HVX,Amoxicillin 5mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ3989,11/5/2023,Inactive,
761643XSD,Metformin 10mg Tablets Sample,Pharma,Sample,Yes,PAWH200B,A,PHRPA1185,11/5/2024,Inactive,
690464OXQ,Metformin 100mg Tablets Private Label,Pharma,Private Label,Yes,,A,INVALIDFRG1,11/12/2018,Inactive,11/19/2030
243085CGN,Amoxicillin 50mg Tablets Sample,Pharma,Sample,Yes,,C,PHRTX2265,9/14/2021,Active,
199008GUS,Pain Relief Tabltes,OTC,Sample,Yes,TXDC300C,C,OTCTX5865,6/26/2017,Inactive,
641277FYZ,Losartan 20mg Tablets Private Label,Pharma,Private Label,Yes,PAWH200B,C,PHRPA1768,3/10/2018,Inactive,
210816FAT,Cough Syrup Sample,OTC,Sample,Yes,ILWH500E,B,OTCIL4593,12/19/2025,Active,
513858AMA,Amoxicillin 50mg Tablets,Pharma,General Market,Yes,TXDC300C,B,PHRTX3378,3/1/2020,Inactive,
643279ANJ,Lisinopril 10mg Tablets Private Label,Pharma,Private Label,Yes,TXDC300C,C,PHRTX5358,1/26/2024,Active,
118205HXP,Lisinopril 10mg Tablets Sample,Pharma,Sample,Yes,NJWH100A,A,PHRNJ2934,2/8/2022,Inactive,
915768NUG,Antacid Chewables,OTC,General Market,Yes,NJWH100A,A,OTCNJ5472,3/26/2017,Active,
398497PHH,Cold and Flu Capsules,OTC,Private Label,No,ILWH500E,A,OTCIL1070,6/30/2025,Inactive,
925081VLJ,Ibuprofen 100mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,A,PHRNJ7784,12/28/2023,Active,
482769MCC,Levotyhroxine 50mg Tablets,Pharma,Private Label,Yes,,B,PHRPA9072,9/24/2019,Active,
157494TXM,Cough Syrup Private Label,OTC,Private Label,Yes,TXDC300C,A,OTCTX8833,8/29/2020,Inactive,
266750IZU,Sertraline 20mg Tablets Private Label,Pharma,Private Label,No,CADC400D,C,PHRCA5030,9/9/2020,Active,
365167ZDL,Hydrochlorothiazide 50mg Tablets,Pharma,General Market,Yes,NJWH100A,A,PHRNJ3301,4/2/2025,Inactive,
218060GPN,Levothyroxine 50mg Tablets,Pharma,Private Label,Yes,NJWH100A,B,PHRNJ8448,12/2/2019,Active,
744654KLK,Antacid Chewables,OTC,General Market,Yes,PAWH200B,B,OTCPA8591,1/17/2019,Inactive,
118055QXH,Levothyroxine 5mg Tablets,Pharma,General Market,Yes,TXDC300C,A,PHRTX9567,6/9/2022,Active,
113603WRI,Cough Syrup Private Label,OTC,Private Label,No,,C,OTCPA5251,4/8/2020,Inactive,
244562NWF,Cough Syrup Sample,OTC,Sample,Yes,TXDC300C,A,OTCTX3921,3/4/2024,Active,
507874QJL,Cold and Flu Capsules,OTC,General Market,No,PAWH200B,C,INVALIDFRG1,9/5/2024,Inactive,
638376ZHT,Allergy Relief Caps,OTC,Private Label,Yes,NJWH100A,A,OTCNJ8504,8/12/2023,Inactive,
290256ZBW,Cough Syrup,OTC,Sample,Yes,CADC400D,A,OTCCA5486,11/23/2020,Active,12/25/2027
342738XWR,Allergy Relief Caps,OTC,General Market,Yes,CADC400D,B,OTCCA4846,12/7/2022,Inactive,
991740BFW,Lisinopril 50mg Tablets Private Label,,Private Label,Yes,NJWH100A,A,PHRNJ3416,8/3/2024,Inactive,
108742HEF,Omeprazole 5mg Tablets,Pharma,General Market,Yes,ILWH500E,B,PHRIL2847,5/26/2024,Inactive,
236219IFB,Allergy Relief Caps Private Label,OTC,Private Label,Yes,,A,OTCCA3555,11/1/2017,Inactive,
121188KGF,Sertraline 5mg Tablets,Pharma,General Market,Yes,ILWH500E,B,PHRIL2474,6/8/2025,Active,
617260ZPK,Antacid Chewables Private Label,OTC,Private Label,Yes,TXDC300C,C,OTCTX7159,3/3/2025,Active,
630222HJF,Allergy Relief Caps Private aLbel,OTC,Private Label,Yes,ILWH500E,C,OTCIL3301,12/25/2018,Inactive,
650115ZQG,Cold and Flu Capsules,,General Market,Yes,PAWH200B,A,OTCPA3258,11/22/2021,Inactive,
424889KRM,Lisinopril 250mg Tablets,Pharma,General Market,No,NJWH100A,B,PHRNJ2369,6/27/2019,Inactive,
112232WIW,Allergy Relief Caps,OTC,General Market,Yes,ILWH500E,A,OTCIL7577,1/28/2022,Inactive,
474651XGY,Cold and Flu Capsules Sample,,Sample,Yes,TXDC300C,A,OTCTX5751,12/23/2023,Inactive,
163663GSA,Metformin 50mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,A,PHRTX4928,4/29/2019,Inactive,3/25/2030
920640IUX,Allergy Relief Caps Private Label,OTC,Private Label,Yes,ILWH500E,A,OTCIL7020,8/31/2024,Active,
778031VFN,Amoxicillin 20mg Tablets,Pharma,General Market,Yes,ILWH500E,A,PHRIL5430,4/5/2023,Active,
778792MXU,Antacid Chewables,OTC,Private Label,Yes,NJWH100A,B,OTCNJ4713,7/30/2021,Active,11/24/2029
488485NOW,Lisinopril 250mg Tablets,Pharma,Sample,Yes,TXDC300C,B,PHRTX5654,2/10/2017,Inactive,
761748DOO,Pain Relief Tablets,OTC,,Yes,TXDC300C,B,OTCTX8785,8/4/2018,Inactive,
497548JGF,Cold and Flu Capsules Sample,OTC,Sample,No,PAWH200B,C,OTCPA3084,7/20/2021,Active,
445858ETS,Lisinopril 5mg Tablets,Pharma,General Market,Yes,CADC400D,A,PHRCA7717,10/23/2024,Inactive,
169920TOC,Atorvastatin 50mg Tablets Private Label,Pharma,Private Label,Yes,NJWH100A,B,PHRNJ1660,3/13/2025,Active,
972655COY,Allergy Relief Caps,OTC,General Market,Yes,TXDC300C,A,OTCTX8977,4/24/2022,Inactive,
987089CWM,Allergy Relief Caps,OTC,Private Label,Yes,PAWH200B,C,OTCPA4737,2/19/2021,Active,
602507SKW,Levothyroxine 5mg Tablets Private Label,,Private Label,Yes,CADC400D,C,PHRCA4052,1/19/2018,Inactive,
218077XMJ,Metformin 100mg Tablets,Pharma,General Market,Yes,CADC400D,C,PHRCA4770,12/12/2023,Active,
615152HBB,Allergy Relief Caps Private Label,OTC,Private Label,Yes,TXDC300C,C,OTCTX7393,10/18/2021,Inactive,
715319OHN,Lisinopril 5mg Tablets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ4768,4/20/2025,Active,
358324YVP,Ibuprofen 5mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,A,PHRCA9439,6/16/2025,Inactive,
792011IAP,Metformin 100mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,C,PHRTX4056,10/25/2020,Active,
819950QDZ,Cold and Flu Capsules,OTC,Sample,Yes,ILWH500E,B,OTCIL8464,1/30/2018,Active,
168872OCC,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,CADC400D,C,OTCCA8000,2/21/2021,Active,
977804QQM,Levothyroxine 100mg Tablets,Pharma,General Market,Yes,CADC400D,B,PHRCA5779,12/31/2020,Active,
614617QWX,Atorvastatin 50mg Tablets,,Sample,Yes,PAWH200B,C,PHRPA7143,4/9/2020,Inactive,
945846JOP,Pain Relief Tablets Sample,OTC,Sample,Yes,PAWH200B,C,OTCPA8665,6/25/2024,Active,
409975WVZ,Cold and Flu Capsules Sample,OTC,Sample,Yes,PAWH200B,A,OTCPA2147,1/27/2020,Active,1/16/2029
989596PUD,Metformin 100mg Tablets Sample,Pharma,Sample,Yes,TXDC300C,B,PHRTX6085,12/8/2019,Active,6/11/2030
588469ROA,Pain Relief Tablets Sample,OTC,Sample,Yes,CADC400D,A,OTCCA4739,12/29/2023,Active,
296617OXA,Pain Reilef Tablets Sample,OTC,Sample,No,ILWH500E,C,OTCIL4558,9/19/2019,Inactive,
926578ANX,Hydrochlorothiazide 250mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,B,PHRIL3043,7/7/2025,Active,
612591TKA,Antacid Chewables Private Label,OTC,Private Label,Yes,ILWH500E,A,OTCIL6791,9/9/2018,Active,
127746HVV,Allergy Releif Caps,OTC,Private Label,Yes,CADC400D,C,OTCCA2090,3/21/2018,Inactive,
460976AAO,Allergy Reilef Caps Private Label,OTC,,Yes,TXDC300C,A,OTCTX7811,10/7/2019,Active,
653631YWE,Pain Relief Tablets Private Label,OTC,Private Label,No,TXDC300C,C,OTCTX1874,6/30/2022,Inactive,
300707IIR,Losartan 10mg Tablets Sample,Pharma,Sample,Yes,PAWH200B,C,PHRPA9862,10/30/2023,Active,
316488DFG,Amoxicillin 250mg Tablets,Pharma,General Market,Yes,NJWH100A,B,PHRNJ7880,7/1/2025,Inactive,
520613HRU,Cold and Flu Capsules Sample,OTC,Sample,Yes,PAWH200B,C,OTCPA4316,7/5/2021,Active,
977400XAP,Pain Relief Tablets,OTC,Private Label,Yes,ILWH500E,C,OTCIL3887,6/17/2018,Active,
772613HEN,Metformin 5mg Tablets,Pharma,,Yes,CADC400D,B,PHRCA4884,2/5/2023,Inactive,8/30/2030
116348FDY,Metformin 50mg Tablets Private Label,Pharma,Private Label,Yes,PAWH200B,,PHRPA4198,10/13/2017,Active,
918244EZY,Levothyroxine 10mg Tablets,Pharma,Sample,Yes,PAWH200B,B,PHRPA9062,12/3/2023,Inactive,
992965HFR,Allergy Relief Caps,OTC,General Market,Yes,CADC400D,,OTCCA7173,1/7/2025,Active,
913824KZN,Hydrochlorothiazide 50mg Tablets,Pharma,Sample,Yes,TXDC300C,B,PHRTX1719,10/10/2019,Inactive,
831624GTS,Omeprazole 5mg Tablets Sample,Pharma,,Yes,CADC400D,C,PHRCA2016,6/22/2022,Active,
789515XGM,Pain Relief Tablets Private Label,OTC,Private Label,Yes,CADC400D,C,OTCCA9581,7/16/2022,Active,
769313XPC,Sertraline 20mg Tablets Sample,Pharma,Sample,Yes,CADC400D,B,PHRCA5691,1/24/2024,Inactive,
102966LZY,Antacid Chewables,OTC,Sample,Yes,TXDC300C,C,OTCTX2186,7/24/2018,Active,
795756ORT,Lisinopril 100mg Tablets,Pharma,General Market,Yes,ILWH500E,C,PHRIL5915,4/21/2021,Active,
924898KMU,Antacid Chewables,OTC,General Market,Yes,CADC400D,A,OTCCA5983,12/20/2018,Active,
401014ICC,Sertraline 5mg Tablets Private Label,Pharma,Private Label,Yes,CADC400D,C,PHRCA1269,12/28/2021,Active,
289901KSR,Hydrochlorothiazide 100mg Tablets,,General Market,Yes,CADC400D,A,PHRCA7820,12/19/2020,Active,
765153USL,Cough Syrup,OTC,Sample,Yes,TXDC300C,B,OTCTX4374,7/21/2025,Inactive,
183723XEW,Ibuprofen 50mg Tablets,Pharma,Private Label,Yes,PAWH200B,A,PHRPA6681,3/6/2023,Active,
394692RJX,Cold and Flu Capsules,OTC,General Market,Yes,TXDC300C,A,OTCTX6890,9/13/2024,Inactive,
665799WKW,Hydrochlorothiazide 250mg Tablets,Pharma,Private Label,Yes,TXDC300C,A,PHRTX1845,7/30/2023,Inactive,
362523WWW,Pain Relief Tablets,OTC,Private Label,Yes,TXDC300C,B,OTCTX4407,1/16/2017,Active,
974626MZX,Losartan 5mg Tablets,Pharma,General Market,Yes,PAWH200B,C,PHRPA7235,1/20/2019,Inactive,
322694TOE,Allergy Relief Caps Private Label,OTC,Private Label,Yes,ILWH500E,C,OTCIL4282,10/24/2024,Active,
345784LCI,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,TXDC300C,A,OTCTX8666,8/2/2024,Inactive,2/9/2029
919641CEO,Pain Relief Tablets Private Label,OTC,Private Label,Yes,,A,OTCPA7872,3/7/2018,Inactive,
844585LMN,Allergy Relief Caps,OTC,Sample,Yes,ILWH500E,A,OTCIL6106,10/15/2019,Inactive,
518507EIT,Hydrochlorothiazide 10mg Tablets,Pharma,Sample,Yes,ILWH500E,B,PHRIL6742,7/13/2018,Active,
288499MIL,Sertraline 10mg Tablets,Pharma,General Market,Yes,CADC400D,A,PHRCA3188,5/29/2025,Inactive,
677539FOA,Antacid Chewables Sample,OTC,Sample,Yes,PAWH200B,B,INVALIDFRG1,11/18/2018,Inactive,
363781IEX,Sertraline 20mg Tablets,Pharma,General Market,Yes,PAWH200B,B,PHRPA3864,3/23/2021,Active,
136510OXU,Atorvastatin 250mg Tablets,Pharma,Sample,Yes,ILWH500E,A,PHRIL3756,11/24/2023,Active,
764073OSZ,Allergy Relief Caps,,Sample,Yes,CADC400D,C,OTCCA7694,7/16/2023,Active,
365509VJP,Atorvastatin 250mg Tablets,Pharma,General Market,Yes,ILWH500E,B,PHRIL5459,5/6/2022,Inactive,
999117IZX,Cough ySrup,OTC,General Market,Yes,PAWH200B,B,OTCPA7142,4/30/2025,Active,
138615IAG,Col dand Flu Capsules,OTC,General Market,Yes,PAWH200B,B,OTCPA1929,9/2/2021,Inactive,
925525CGI,Atorvastatin 100mg Tablets,Pharma,Private Label,Yes,CADC400D,A,PHRCA1562,11/11/2025,Inactive,
431237EVA,Omeprazole 250mg Tablets Sample,Pharma,,Yes,PAWH200B,C,PHRPA3458,2/20/2024,Active,
587501BPV,Cold and Flu Capsules Private Label,OTC,Private Label,Yes,NJWH100A,C,OTCNJ1754,6/12/2020,Active,
432361EUK,Levothyroxine 50mg Tablets,Pharma,Private Label,Yes,CADC400D,B,PHRCA8767,11/26/2022,Inactive,10/13/2030
137225CLJ,Allergy Relief Caps,OTC,General Market,Yes,,C,OTCNJ4085,4/23/2019,Active,
427087KTX,Cough Syrup,OTC,Private Label,Yes,CADC400D,B,OTCCA8872,7/25/2018,Active,
824770GGL,Metformin 50mg Tablets Sample,Pharma,,Yes,ILWH500E,A,PHRIL6077,10/21/2022,Active,
674074VDT,Ibuprofen 100mg Tablets,Pharma,General Market,Yes,PAWH200B,A,PHRPA9056,7/19/2023,Inactive,
560330JFI,Levothyroxine 10mg Tablets,,Sample,Yes,ILWH500E,B,PHRIL5436,7/16/2022,Active,
181144LIL,Lisinopril 20mg Tablets,Pharma,Sample,Yes,PAWH200B,A,PHRPA5037,8/19/2019,Inactive,
822057FAL,Cold and lFu Capsules,,Private Label,Yes,TXDC300C,A,OTCTX8698,10/29/2022,Active,
254054PSF,Pain Relief Tablets Sample,,Sample,Yes,TXDC300C,B,OTCTX8953,3/6/2017,Inactive,
393197LWL,Hydrochlorothiazide 5mg Tablets,Pharma,Private Label,Yes,ILWH500E,A,PHRIL2965,1/30/2024,Inactive,
681831QEB,Cough Syrup,OTC,Sample,Yes,ILWH500E,C,OTCIL6120,7/10/2019,Active,
691048HIL,Hydrochlorothiazide 50mg Tablets Sample,Pharma,Sample,Yes,ILWH500E,C,PHRIL2616,12/26/2019,Active,
426998NOH,Pain Relief Tablets Private Label,OTC,Private Label,Yes,TXDC300C,C,OTCTX4833,2/14/2020,Active,
710255DUS,Antacid Chewables Private Label,OTC,Private Label,Yes,PAWH200B,A,OTCPA7548,7/22/2017,Inactive,
850877LKD,Pain Relief Tablets Private Label,OTC,Private Label,Yes,NJWH100A,C,OTCNJ5070,4/8/2020,Active,
852830UMR,Ibuprofen 250mg Tablets Sample,Pharma,Sample,No,PAWH200B,A,PHRPA3510,8/9/2024,Inactive,
170894ZWM,Allergy Relief Caps,OTC,Private Label,Yes,ILWH500E,B,OTCIL4604,1/1/2025,Inactive,
334067RAE,Cold and Flu Capsules,OTC,Sample,No,ILWH500E,B,OTCIL3250,12/20/2020,Active,
405638QXC,Lisinopril 10mg Tablets,Pharma,Sample,Yes,TXDC300C,C,PHRTX5378,1/4/2021,Active,
462470WYK,Cough Syrup,OTC,Private Label,Yes,PAWH200B,C,OTCPA6548,5/1/2024,Inactive,
821187LEO,Metfomrin 5mg Tablets,Pharma,General Market,Yes,CADC400D,C,PHRCA3475,7/30/2022,Active,
591427QZT,Pain Relief Tablets,OTC,,Yes,TXDC300C,C,OTCTX6248,5/16/2020,Active,
278936UJX,Hdyrochlorothiazide 250mg Tablets,Pharma,General Market,Yes,CADC400D,B,PHRCA5566,6/23/2019,Active,
468425XEL,Metformin 20mg Tablets,Pharma,,Yes,PAWH200B,B,PHRPA2620,6/26/2018,Active,
826058DBN,Allergy Relief Caps Private Label,OTC,Private Label,Yes,CADC400D,A,OTCCA8932,5/22/2022,Active,
510181HHC,Cold and Flu Capsules,OTC,Private Label,Yes,PAWH200B,B,OTCPA3393,1/2/2023,Active,
149963OXX,Cough Syrup,OTC,Sample,Yes,ILWH500E,C,OTCIL6002,4/14/2021,Active,
176286SBE,Ibuprofen 50mg Tablets Private Label,,Private Label,Yes,NJWH100A,C,PHRNJ4185,10/22/2020,Active,
397549QDP,Antacid Chewables Private Label,OTC,Private Label,Yes,CADC400D,B,OTCCA3357,3/13/2021,Inactive,
517024WIW,Losartan 20mg Tablets Sample,Pharma,Sample,No,NJWH100A,A,PHRNJ5337,10/3/2019,Inactive,
544829TAG,Levothyroxine 5mg Tablets Sample,Pharma,Sample,Yes,CADC400D,C,PHRCA7699,11/6/2018,Inactive,
631905PUR,Antacid Chewablse,OTC,General Market,Yes,PAWH200B,A,OTCPA5089,3/24/2022,Inactive,
915621NNJ,Cough Syrup,OTC,General Market,Yes,CADC400D,C,OTCCA3374,10/31/2021,Inactive,
635448CDT,Omeprazole 50mg Tablets,Pharma,Private Label,Yes,CADC400D,B,PHRCA1158,12/19/2017,Active,
890792EPC,Lisinopril 10mg aTblets,Pharma,General Market,Yes,NJWH100A,C,PHRNJ6086,11/12/2022,Inactive,
547549ELU,Antacid ChewablesS ample,OTC,Sample,Yes,NJWH100A,A,OTCNJ3544,4/20/2024,Inactive,
322685QXI,Allergy Relief Caps,OTC,Private Label,Yes,NJWH100A,B,OTCNJ8978,9/11/2024,Inactive,
580889DPD,Pain Relief Tablets,OTC,General Market,Yes,TXDC300C,A,OTCTX2021,6/29/2020,Inactive,
431718UPQ,Allergy Relief Caps Sample,OTC,Sample,No,PAWH200B,A,OTCPA3941,6/6/2023,Inactive,
673124FPS,Atorvastatin 250mg Tablets,Pharma,Private Label,Yes,NJWH100A,A,PHRNJ4929,11/11/2021,Inactive,
218838VOJ,Antacid Chewables Private Label,OTC,Private Label,Yes,,B,OTCNJ3951,2/12/2018,Active,
699386YVM,Pain Relief Tablets,OTC,Sample,Yes,ILWH500E,C,OTCIL2265,7/6/2024,Active,
602149TUC,Atorvastatin 20mg Tablets,Pharma,General Market,Yes,,B,PHRPA8434,6/6/2025,Active,
244975HPI,Antacid Chewables Private Label,OTC,Private Label,Yes,NJWH100A,B,OTCNJ8417,6/28/2022,Active,6/9/2026
842602IAS,Cough Syrup Private Label,OTC,Private Label,No,TXDC300C,A,OTCTX5219,6/3/2019,Inactive,
250745FMU,Lisinopril 100mg Tablet sSample,Pharma,Sample,Yes,CADC400D,C,PHRCA1105,4/30/2020,Inactive,
184186SZV,Atorvastatin 50mg Tablets,Pharma,,Yes,NJWH100A,B,PHRNJ1031,9/20/2017,Active,
529554MEA,Coug hSyrup,,General Market,Yes,CADC400D,B,OTCCA3341,8/14/2021,Inactive,
546036PYR,Allergy Relief Caps,,General Market,Yes,TXDC300C,C,OTCTX9936,3/15/2018,Active,
108556VGB,Cold and Flu Capsules Sample,OTC,Sample,Yes,CADC400D,B,OTCCA2647,2/20/2022,Active,
287948PAE,Cough Syrup,OTC,General Market,Yes,ILWH500E,A,OTCIL6946,5/27/2019,Active,
221832GMX,Cold and Flu Capsules Sample,OTC,Sample,Yes,TXDC300C,B,OTCTX3820,8/23/2018,Inactive,
